"player_name_pfr","college_combine","Ht","Wt","X40yd","Vertical","Bench","Broad_Jump","X3Cone","Shuttle","pos_combine","combine_yr","Pick","Career_AV_New","draft_dummy"
"Keishawn Bierria","Washington",74,230,4.79,30.5,21,117,7.26,NA,"ILB",2018,217,2,1
"Keke Coutee","Texas Tech",70,181,4.43,34.5,14,113,6.93,4.15,"WR",2018,103,9,1
"Kemoko Turay","Rutgers",77,253,4.65,NA,NA,NA,NA,NA,"EDGE",2018,52,5,1
"Kendall Donnerson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,248,0,1
"Kendrick Norton","Miami (FL)",75,314,5.25,NA,30,NA,NA,NA,"DT",2018,242,0,1
"Kenny Young","UCLA",73,236,4.6,36,23,117,7.38,4.48,"ILB",2018,122,12,1
"Kentavius Street","North Carolina State",74,280,4.87,NA,28,NA,NA,NA,"DE",2018,128,3,1
"Kerryon Johnson","Auburn",71,213,NA,40,11,126,7.07,4.29,"RB",2018,43,12,1
"Kevin Toliver","LSU",75,204,NA,33,10,120,NA,NA,"CB",2018,300,0,0
"Kolton Miller","UCLA",81,309,4.95,31.5,24,121,7.34,4.49,"OT",2018,15,26,1
"Korey Cunningham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,254,4,1
"Korey Robertson","Southern Miss",73,212,4.56,34,13,123,NA,NA,"WR",2018,300,0,0
"Kurt Benkert","Virginia",75,218,4.95,31,16,112,7.15,4.33,"QB",2018,300,0,0
"Kyle Hicks","TCU",70,204,4.63,36.5,13,122,NA,NA,"RB",2018,300,0,0
"Kyle Lauletta","Richmond",75,222,4.81,31,NA,113,6.95,4.07,"QB",2018,108,1,1
"Kylie Fitts","Utah",76,263,4.69,32.5,31,117,6.88,4.19,"EDGE",2018,181,2,1
"Kyzir White","West Virginia",74,216,NA,35.5,21,113,NA,NA,"S",2018,119,12,1
"Lamar Jackson","Louisville",74,216,NA,NA,NA,NA,NA,NA,"QB",2018,32,49,1
"Lavon Coleman","Washington",71,215,4.65,33,23,120,NA,NA,"RB",2018,300,0,0
"Leighton Vander esch","Boise State",76,256,4.65,39.5,20,124,6.88,4.15,"ILB",2018,300,0,0
"Leon Jacobs","Wisconsin",75,246,4.48,34.5,26,122,7.14,4.44,"EDGE",2018,230,10,1
"Logan Cooke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,247,8,1
"Logan Woodside","Toledo",73,213,4.79,31.5,NA,103,6.94,4.15,"QB",2018,249,1,1
